Building DAG of jobs...
output_file	date	rule	log-file(s)	status	plan
.snakemake/checks/external_resources_checked	Wed May 20 19:17:33 2026	check_external_resources		ok	no update
data/curated_md-lais/mmseqs2/25_50/clusters_25_50_rep_seq.fasta	Wed May 20 19:17:32 2026	mmseqs_easy_cluster		ok	update pending
data/curated_md-lais/mmseqs2/25_50/clusters_25_50_cluster.tsv	Wed May 20 19:17:32 2026	mmseqs_easy_cluster		ok	update pending
data/curated_md-lais/mmseqs2/10_25/clusters_10_25_rep_seq.fasta	Wed May 20 19:17:34 2026	mmseqs_easy_cluster		ok	update pending
data/curated_md-lais/mmseqs2/10_25/clusters_10_25_cluster.tsv	Wed May 20 19:17:34 2026	mmseqs_easy_cluster		ok	update pending
results/tox_check/toxinpred3/25_50/clusters_25_50_rep_seq_toxinpred3.csv	Wed May 20 19:18:04 2026	merge_toxinpred3_batches		set of input files changed	update pending
results/tox_check/toxinpred3/25_50/.batches_validated	Wed May 20 19:18:04 2026	merge_toxinpred3_batches		set of input files changed	update pending
data/derived/batches/tox_check/25_50	Wed May 20 19:17:34 2026	split_tox_check_batches		rule implementation changed	update pending
results/tox_check/toxinpred3/10_25/clusters_10_25_rep_seq_toxinpred3.csv	Wed May 20 19:18:03 2026	merge_toxinpred3_batches		set of input files changed	update pending
results/tox_check/toxinpred3/10_25/.batches_validated	Wed May 20 19:18:03 2026	merge_toxinpred3_batches		set of input files changed	update pending
data/derived/batches/tox_check/10_25	Wed May 20 19:17:34 2026	split_tox_check_batches		rule implementation changed	update pending
results/tox_check/toxteller/25_50/clusters_25_50_rep_seq_toxteller.csv	Wed May 20 19:17:56 2026	merge_toxteller_batches		set of input files changed	update pending
results/tox_check/toxteller/25_50/.batches_validated	Wed May 20 19:17:56 2026	merge_toxteller_batches		set of input files changed	update pending
data/derived/batches/toxteller/25_50	Wed May 20 19:17:34 2026	split_toxteller_batches		ok	update pending
results/tox_check/toxteller/10_25/clusters_10_25_rep_seq_toxteller.csv	Wed May 20 19:18:07 2026	merge_toxteller_batches		set of input files changed	update pending
results/tox_check/toxteller/10_25/.batches_validated	Wed May 20 19:18:07 2026	merge_toxteller_batches		set of input files changed	update pending
data/derived/batches/toxteller/10_25	Wed May 20 19:17:34 2026	split_toxteller_batches		ok	update pending
results/tox_check/captp/25_50/clusters_25_50_rep_seq_captp.csv	Wed May 20 19:18:02 2026	merge_captp_batches		set of input files changed	update pending
results/tox_check/captp/25_50/.batches_validated	Wed May 20 19:18:02 2026	merge_captp_batches		set of input files changed	update pending
results/tox_check/captp/10_25/clusters_10_25_rep_seq_captp.csv	Wed May 20 19:18:06 2026	merge_captp_batches		set of input files changed	update pending
results/tox_check/captp/10_25/.batches_validated	Wed May 20 19:18:06 2026	merge_captp_batches		set of input files changed	update pending
results/tox_check/toxicity_summary/25_50/clusters_25_50_toxicity_summary.csv	Wed May 20 19:28:58 2026	build_toxicity_summary		ok	update pending
results/tox_check/toxicity_summary/10_25/clusters_10_25_toxicity_summary.csv	Wed May 20 19:29:38 2026	build_toxicity_summary		ok	update pending
data/derived/non_toxic/25_50/clusters_25_50_rep_seq_non_toxic.fasta	Wed May 20 19:34:16 2026	filter_non_toxic_fasta		ok	update pending
data/derived/non_toxic/25_50/clusters_25_50_rep_seq_non_toxic.stats	Wed May 20 19:34:16 2026	filter_non_toxic_fasta		ok	update pending
data/derived/non_toxic/10_25/clusters_10_25_rep_seq_non_toxic.fasta	Wed May 20 19:34:26 2026	filter_non_toxic_fasta		ok	update pending
data/derived/non_toxic/10_25/clusters_10_25_rep_seq_non_toxic.stats	Wed May 20 19:34:26 2026	filter_non_toxic_fasta		ok	update pending
data/derived/non_toxic/25_50/batches	Thu May 21 00:49:39 2026	split_non_toxic_batches		ok	update pending
data/derived/non_toxic/10_25/batches	Thu May 21 00:49:46 2026	split_non_toxic_batches		ok	update pending
results/hemo_check/hemopi2_classification/25_50/clusters_25_50_rep_seq_hemopi2_classification.csv	-	merge_hemopi2_classification_batches	-	missing	update pending
results/hemo_check/hemopi2_classification/10_25/clusters_10_25_rep_seq_hemopi2_classification.csv	-	merge_hemopi2_classification_batches	-	missing	update pending
results/hemo_check/hemopi2_regression/25_50/clusters_25_50_rep_seq_hemopi2_regression.csv	-	merge_hemopi2_regression_batches	-	missing	update pending
results/hemo_check/hemopi2_regression/10_25/clusters_10_25_rep_seq_hemopi2_regression.csv	-	merge_hemopi2_regression_batches	-	missing	update pending
results/hemo_check/macrel/25_50/clusters_25_50_rep_seq_macrel.csv	-	merge_macrel_batches	-	missing	update pending
results/hemo_check/macrel/10_25/clusters_10_25_rep_seq_macrel.csv	-	merge_macrel_batches	-	missing	update pending
